Identifier,Collection Date,Number of bubbles,Bubble Detector ID,Sensitivity (b/mrem),Calculated Exposure (mrem),City,Province/Territory
68021439-904b-4d53-b98c-5b40687f5d00,2019-02-13T09:00:00.000-07:00,1,17072241,53,0.018867925,Innisfail,Alberta
9caaea99-7447-4fe6-9116-efa99147c123,2019-02-13T09:00:00.000-07:00,2,18130114,52,0.038461538,Innisfail,Alberta
b0d40d82-757c-46da-af44-e9306f2a3aea,2019-02-14T11:18:00.000-08:00,5,18046205,50,0.1,Sechelt,British Columbia
d5f82152-5e9b-4112-86a0-4471b05b6f82,2019-02-14T12:58:00.000-08:00,6,18046205,50,0.12,Sechelt,British Columbia
68021439-904b-4d53-b98c-5b40687f5d00,2019-02-14T14:30:00.000-07:00,2,17072241,53,0.037735849,Innisfail,Alberta
9caaea99-7447-4fe6-9116-efa99147c123,2019-02-15T09:00:00.000-07:00,2,18130114,52,0.038461538,Innisfail,Alberta
0b35e95b-f234-4bdd-b0b0-4048847dfe28,2019-02-15T13:53:00.000-04:00,0,18051203,58,0,Bridgewater,Nova Scotia
4ea0356b-8ca6-4493-912a-866f9ff95eeb,2019-02-19T08:36:00.000-05:00,1,18130212,49,0.020408163,East Angus,Quebec
56389f81-1962-4add-9138-c292f7e5a132,2019-02-19T08:38:00.000-05:00,1,18130212,49,0.020408163,East Angus,Quebec
c6d6037c-545f-4201-8eaa-5dd518480bd1,2019-02-19T08:39:00.000-05:00,1,18130212,49,0.020408163,East Angus,Quebec
6fc011b2-4310-4244-bd9a-c3e4aef54e64,2019-02-19T08:40:00.000-05:00,1,18130212,49,0.020408163,East Angus,Quebec
d76ddb9e-b3e7-4616-b4ed-0b91f5062469,2019-02-19T08:41:00.000-05:00,1,18130212,49,0.020408163,East Angus,Quebec
959484ae-c895-403a-83df-59404e44b9f6,2019-02-19T11:27:00.000-05:00,0,17170336,56,0,Petawawa,Ontario
c7ac3b2b-09d0-445f-809f-408a1c8456d4,2019-02-19T12:30:00.000-05:00,0,18051426,45,0,Eganville,Ontario
3c60c77a-a9f5-4e56-a425-e3c187faf59e,2019-03-27T13:10:00.000-04:00,13,18046221,53,0.24,Montreal,Quebec
