Identifier,Collection Date,Number of bubbles,Bubble Detector ID,Sensitivity (b/mrem),Calculated Exposure (mrem),City,Province/Territory,,Calculated Exposure Day 7
0a341b7f-3663-4a85-896a-de92001479e0,4/30/2019,19,19051231,52,0.365,Stonewall,Manitoba,,
0a341b7f-3663-4a85-896a-de92001479e0,5/1/2019,15,18051231,52,0.28846,Stonewall,Manitoba,,0.28846
0b35e95b-f234-4bdd-b0b0-4048847dfe28,1/29/2019,5,18051203,58,0.086,Bridgewater,Nova Scotia,,
0b35e95b-f234-4bdd-b0b0-4048847dfe28,1/31/2019,1,18051203,58,0.017241,Bridgewater,Nova Scotia,,
0b35e95b-f234-4bdd-b0b0-4048847dfe28,2/5/2019,1,18051203,58,0.017,Bridgewater,Nova Scotia,,
0b35e95b-f234-4bdd-b0b0-4048847dfe28,2/7/2019,1,18051203,58,0.017,Bridgewater,Nova Scotia,,0.017
0b35e95b-f234-4bdd-b0b0-4048847dfe28,2/20/2019,1,18051203,58,0.017,Bridgewater,Nova Scotia,,
0b35e95b-f234-4bdd-b0b0-4048847dfe28,2/26/2019,2,18051203,58,0.034,Bridgewater,Nova Scotia,,0.034
0b35e95b-f234-4bdd-b0b0-4048847dfe28,3/1/2019,2,18051203,58,0.034,Bridgewater,Nova Scotia,,
0b35e95b-f234-4bdd-b0b0-4048847dfe28,3/8/2019,2,18051203,58,0.03448,Bridgewater,Nova Scotia,,0.03448
0b35e95b-f234-4bdd-b0b0-4048847dfe28,3/12/2019,1,18051203,58,0.0172,Bridgewater,Nova Scotia,,
0b35e95b-f234-4bdd-b0b0-4048847dfe28,3/15/2019,3,18051203,58,0.051724,Bridgewater,Nova Scotia,,0.051724
0c57809b-4876-4fdd-a535-974a827e7dab,2/26/2019,2,18129250,55,0.036,Waterloo,Ontario,,
0c57809b-4876-4fdd-a535-974a827e7dab,2/27/2019,1,18129250,55,0.018,Waterloo,Ontario,,
0c57809b-4876-4fdd-a535-974a827e7dab,2/28/2019,2,18129250,55,0.036363636,Waterloo,Ontario,,
0c57809b-4876-4fdd-a535-974a827e7dab,3/1/2019,3,18129250,55,0.055,Waterloo,Ontario,,0.11
0c5c5e8f-eeb7-4ba3-ba09-2e3a62b152bb,2/21/2019,1,18129209,44,0.022727273,Ottawa,Ontario,,
0c5c5e8f-eeb7-4ba3-ba09-2e3a62b152bb,2/22/2019,1,18129209,44,0.022727273,Ottawa,Ontario,,
0c5c5e8f-eeb7-4ba3-ba09-2e3a62b152bb,2/23/2019,3,18129209,44,0.068181818,Ottawa,Ontario,,
0c5c5e8f-eeb7-4ba3-ba09-2e3a62b152bb,2/24/2019,3,18129209,44,0.068181818,Ottawa,Ontario,,
0c5c5e8f-eeb7-4ba3-ba09-2e3a62b152bb,2/25/2019,2,18129209,44,0.045454545,Ottawa,Ontario,,
0c5c5e8f-eeb7-4ba3-ba09-2e3a62b152bb,2/26/2019,15,18129209,44,0.340909,Embrun,Ontario,,
0c5c5e8f-eeb7-4ba3-ba09-2e3a62b152bb,2/27/2019,2,18129209,44,0.045454545,Ottawa,Ontario,,
0c5c5e8f-eeb7-4ba3-ba09-2e3a62b152bb,2/28/2019,2,18129209,44,0.045454545,Ottawa,Ontario,,0.068181818
16ac7c83-6f69-4683-b2e5-be67827c1c0f,2/18/2019,2,18046246,53,0.037735849,Saguenay,Quebec,,
16ac7c83-6f69-4683-b2e5-be67827c1c0f,2/21/2019,1,18046246,53,0.018867925,Saguenay,Quebec,,
16ac7c83-6f69-4683-b2e5-be67827c1c0f,2/22/2019,1,18046246,53,0.018867925,Saguenay,Quebec,,0.075471698
1ac2f41d-8ebe-4452-a302-a2a54a4fb9a4,3/8/2019,1,18129211,55,0.018,Mississauga,Ontario,,0.018
1b4e620c-6c96-42ed-aab1-63e3409a5de5,2/25/2019,5,18129211,55,0.091,Mississauga,Ontario,,
1b4e620c-6c96-42ed-aab1-63e3409a5de5,2/26/2019,1,18129211,55,0.018,Mississauga,Ontario,,
1b4e620c-6c96-42ed-aab1-63e3409a5de5,2/28/2019,2,18129211,55,0.036,Mississauga,Ontario,,0.072
1d00beaf-16c0-43ea-88c5-34e773c1392d,2/21/2019,1,18051404,58,0.017241379,Chilliwack,British Columbia,,
1d00beaf-16c0-43ea-88c5-34e773c1392d,2/26/2019,3,18051404,58,0.051724138,Chilliwack,British Columbia,,
1d00beaf-16c0-43ea-88c5-34e773c1392d,2/27/2019,2,18051404,58,0.034482759,Chilliwack,British Columbia,,
1d00beaf-16c0-43ea-88c5-34e773c1392d,2/27/2019,3,18051404,58,0.051724138,Chilliwack,British Columbia,,
1d00beaf-16c0-43ea-88c5-34e773c1392d,2/28/2019,2,18051404,58,0.034482759,Chilliwack,British Columbia,,0.034482759
1efe5190-e5c9-4af5-b01b-c4f26b18483b,2/20/2019,7,17129149,49,0.142857143,Thornhill,Ontario,,
1efe5190-e5c9-4af5-b01b-c4f26b18483b,2/21/2019,8,17129149,49,0.163265306,Thornhill,Ontario,,0.285714282
1f129390-03f2-429b-abc6-66cfee9bf519,1/16/2019,1,18047344,47,0.021276596,Florenceville-Bristol,New Brunswick,,
1f129390-03f2-429b-abc6-66cfee9bf519,1/25/2019,7,18047344,47,0.14893617,Florenceville-Bristol,New Brunswick,,0.11583922
1f129390-03f2-429b-abc6-66cfee9bf519,1/30/2019,1,18047344,47,0.021276596,Florenceville-Bristol,New Brunswick,,
1f129390-03f2-429b-abc6-66cfee9bf519,1/31/2019,2,18047344,47,0.042553191,Florenceville-Bristol,New Brunswick,,0.14900592
1f129390-03f2-429b-abc6-66cfee9bf519,2/21/2019,2,18047344,47,0.042553191,Florenceville-Bristol,New Brunswick,,
1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,2/2/2019,2,17072232,46,0.043478261,Port Hardy,British Columbia,,
1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,2/7/2019,1,17072232,46,0.02173913,Port Hardy,British Columbia,,
1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,2/12/2019,5,17072232,46,0.108695652,Port Hardy,British Columbia,,0.076086956
1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,2/13/2019,1,17072232,46,0.02173913,Port Hardy,British Columbia,,
1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,2/14/2019,1,17072232,46,0.02173913,Port Hardy,British Columbia,,
