,Identifier,Collection Date,Number of bubbles,Bubble Detector ID,Sensitivity (b/mrem),Calculated Exposure (mrem),City,Province/Territory
366,0b35e95b-f234-4bdd-b0b0-4048847dfe28,2019-03-12,1,18051203,58,0.0172,Bridgewater,Nova Scotia
379,0b35e95b-f234-4bdd-b0b0-4048847dfe28,2019-03-15,3,18051203,58,0.051724,Bridgewater,Nova Scotia
641,0c57809b-4876-4fdd-a535-974a827e7dab,2019-02-26,2,18129250,55,0.036000000000000004,Waterloo,Ontario
642,0c57809b-4876-4fdd-a535-974a827e7dab,2019-02-27,1,18129250,55,0.018000000000000002,Waterloo,Ontario
643,0c57809b-4876-4fdd-a535-974a827e7dab,2019-02-28,2,18129250,55,0.036363636,Waterloo,Ontario
644,0c57809b-4876-4fdd-a535-974a827e7dab,2019-03-01,3,18129250,55,0.055,Waterloo,Ontario
135,0c5c5e8f-eeb7-4ba3-ba09-2e3a62b152bb,2019-02-21,1,18129209,44,0.022727273,Ottawa,Ontario
198,0c5c5e8f-eeb7-4ba3-ba09-2e3a62b152bb,2019-02-22,1,18129209,44,0.022727273,Ottawa,Ontario
199,0c5c5e8f-eeb7-4ba3-ba09-2e3a62b152bb,2019-02-23,3,18129209,44,0.06818181799999999,Ottawa,Ontario
200,0c5c5e8f-eeb7-4ba3-ba09-2e3a62b152bb,2019-02-24,3,18129209,44,0.06818181799999999,Ottawa,Ontario
201,0c5c5e8f-eeb7-4ba3-ba09-2e3a62b152bb,2019-02-25,2,18129209,44,0.045454545,Ottawa,Ontario
720,0c5c5e8f-eeb7-4ba3-ba09-2e3a62b152bb,2019-02-26,15,18129209,44,0.340909,Embrun,Ontario
297,0c5c5e8f-eeb7-4ba3-ba09-2e3a62b152bb,2019-02-27,2,18129209,44,0.045454545,Ottawa,Ontario
298,0c5c5e8f-eeb7-4ba3-ba09-2e3a62b152bb,2019-02-28,2,18129209,44,0.045454545,Ottawa,Ontario
130,16ac7c83-6f69-4683-b2e5-be67827c1c0f,2019-02-18,2,18046246,53,0.037735849,Saguenay,Quebec
220,16ac7c83-6f69-4683-b2e5-be67827c1c0f,2019-02-21,1,18046246,53,0.018867925,Saguenay,Quebec
221,16ac7c83-6f69-4683-b2e5-be67827c1c0f,2019-02-22,1,18046246,53,0.018867925,Saguenay,Quebec
357,1ac2f41d-8ebe-4452-a302-a2a54a4fb9a4,2019-03-08,1,18129211,55,0.018000000000000002,Mississauga,Ontario
195,1b4e620c-6c96-42ed-aab1-63e3409a5de5,2019-02-25,5,18129211,55,0.091,Mississauga,Ontario
293,1b4e620c-6c96-42ed-aab1-63e3409a5de5,2019-02-26,1,18129211,55,0.018000000000000002,Mississauga,Ontario
295,1b4e620c-6c96-42ed-aab1-63e3409a5de5,2019-02-28,2,18129211,55,0.036000000000000004,Mississauga,Ontario
138,1d00beaf-16c0-43ea-88c5-34e773c1392d,2019-02-21,1,18051404,58,0.017241378999999998,Chilliwack,British Columbia
234,1d00beaf-16c0-43ea-88c5-34e773c1392d,2019-02-26,3,18051404,58,0.051724137999999996,Chilliwack,British Columbia
344,1d00beaf-16c0-43ea-88c5-34e773c1392d,2019-02-27,2,18051404,58,0.034482759,Chilliwack,British Columbia
345,1d00beaf-16c0-43ea-88c5-34e773c1392d,2019-02-27,3,18051404,58,0.051724137999999996,Chilliwack,British Columbia
346,1d00beaf-16c0-43ea-88c5-34e773c1392d,2019-02-28,2,18051404,58,0.034482759,Chilliwack,British Columbia
202,1efe5190-e5c9-4af5-b01b-c4f26b18483b,2019-02-20,7,17129149,49,0.14285714300000002,Thornhill,Ontario
205,1efe5190-e5c9-4af5-b01b-c4f26b18483b,2019-02-21,8,17129149,49,0.163265306,Thornhill,Ontario
2,1f129390-03f2-429b-abc6-66cfee9bf519,2019-01-16,1,18047344,47,0.021276596000000002,Florenceville-Bristol,New Brunswick
50,1f129390-03f2-429b-abc6-66cfee9bf519,2019-01-25,7,18047344,47,0.14893617,Florenceville-Bristol,New Brunswick
56,1f129390-03f2-429b-abc6-66cfee9bf519,2019-01-30,1,18047344,47,0.021276596000000002,Florenceville-Bristol,New Brunswick
59,1f129390-03f2-429b-abc6-66cfee9bf519,2019-01-31,2,18047344,47,0.042553191,Florenceville-Bristol,New Brunswick
136,1f129390-03f2-429b-abc6-66cfee9bf519,2019-02-21,2,18047344,47,0.042553191,Florenceville-Bristol,New Brunswick
104,1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,2019-02-02,2,17072232,46,0.043478261,Port Hardy,British Columbia
107,1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,2019-02-07,1,17072232,46,0.02173913,Port Hardy,British Columbia
109,1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,2019-02-12,5,17072232,46,0.10869565199999999,Port Hardy,British Columbia
110,1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,2019-02-13,1,17072232,46,0.02173913,Port Hardy,British Columbia
111,1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,2019-02-14,1,17072232,46,0.02173913,Port Hardy,British Columbia
151,1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,2019-02-20,1,17072232,46,0.02173913,Port Hardy,British Columbia
152,1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,2019-02-21,1,17072232,46,0.02173913,Port Hardy,British Columbia
656,1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,2019-04-04,1,18051506,46,0.02173913,Port Hardy,British Columbia
657,1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,2019-04-05,1,18051506,46,0.02173913,Port Hardy,British Columbia
658,1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,2019-04-08,4,18051506,46,0.086956522,Port Hardy,British Columbia
660,1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,2019-04-10,1,18051506,46,0.02173913,Port Hardy,British Columbia
661,1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,2019-04-11,1,18051506,46,0.02173913,Port Hardy,British Columbia
663,1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,2019-04-15,2,18051506,46,0.043478261,Port Hardy,British Columbia
665,1fb1e547-c62b-4e89-82bb-1e4c45e9d9f5,2019-04-17,2,18051506,46,0.043478261,Port Hardy,British Columbia
471,27483cd4-ea09-420f-83b2-09f75f2e02e9,2019-02-21,1,17170137,67,0.014925,Stouffville,Ontario
470,27483cd4-ea09-420f-83b2-09f75f2e02e9,2019-02-21,3,18129245,55,0.054545455,Stouffville,Ontario
472,27483cd4-ea09-420f-83b2-09f75f2e02e9,2019-02-22,2,18129245,55,0.036363636,Stouffville,Ontario
474,27483cd4-ea09-420f-83b2-09f75f2e02e9,2019-02-23,2,17170137,67,0.02985,Stouffville,Ontario
475,27483cd4-ea09-420f-83b2-09f75f2e02e9,2019-02-24,2,17170137,67,0.02985,Stouffville,Ontario
477,27483cd4-ea09-420f-83b2-09f75f2e02e9,2019-02-25,1,18129245,55,0.018181818,Stouffville,Ontario
476,27483cd4-ea09-420f-83b2-09f75f2e02e9,2019-02-26,1,17170137,67,0.014925,Stouffville,Ontario
478,27483cd4-ea09-420f-83b2-09f75f2e02e9,2019-02-27,2,18129245,55,0.036363636,Stouffville,Ontario
479,27483cd4-ea09-420f-83b2-09f75f2e02e9,2019-02-28,1,18129245,55,0.018181818,Stouffville,Ontario
480,27483cd4-ea09-420f-83b2-09f75f2e02e9,2019-03-04,1,18129245,55,0.018181818,Stouffville,Ontario
481,27483cd4-ea09-420f-83b2-09f75f2e02e9,2019-03-06,3,18129245,55,0.054545455,Stouffville,Ontario
482,27483cd4-ea09-420f-83b2-09f75f2e02e9,2019-03-20,1,18129245,55,0.018181818,Stouffville,Ontario
483,27483cd4-ea09-420f-83b2-09f75f2e02e9,2019-04-22,2,18129245,55,0.036363636,Stouffville,Ontario
154,2e8106c0-d481-446b-bbbb-c32740eef411,2019-02-22,1,18051554,47,0.021276596000000002,Longueuil,Quebec
176,2e8106c0-d481-446b-bbbb-c32740eef411,2019-02-24,1,18051554,47,0.021276596000000002,Longueuil,Quebec
413,306cd52f-3cb5-4ac9-b5e5-f92371c34ba2,2019-03-19,1,18046241,48,0.02083333,Ottawa,Ontario
484,306cd52f-3cb5-4ac9-b5e5-f92371c34ba2,2019-04-02,1,18046241,48,0.0208333,Ottawa,Ontario
580,306cd52f-3cb5-4ac9-b5e5-f92371c34ba2,2019-04-16,2,18046241,48,0.0416666,Ottawa,Ontario
63,3327c487-1873-40a5-81eb-ebf0c4296959,2019-01-22,2,17072232,46,0.043478261,Port Hardy,British Columbia
64,3327c487-1873-40a5-81eb-ebf0c4296959,2019-01-23,1,17072232,46,0.02173913,Port Hardy,British Columbia
65,3327c487-1873-40a5-81eb-ebf0c4296959,2019-01-24,2,17072232,46,0.043478261,Port Hardy,British Columbia
66,3327c487-1873-40a5-81eb-ebf0c4296959,2019-01-25,2,17072232,46,0.043478261,Port Hardy,British Columbia
69,3327c487-1873-40a5-81eb-ebf0c4296959,2019-01-31,1,17072232,46,0.02173913,Port Hardy,British Columbia
70,3327c487-1873-40a5-81eb-ebf0c4296959,2019-02-01,4,17072232,46,0.086956522,Port Hardy,British Columbia
666,3327c487-1873-40a5-81eb-ebf0c4296959,2019-04-23,1,18051506,46,0.02173913,Port Hardy,British Columbia
667,3327c487-1873-40a5-81eb-ebf0c4296959,2019-04-24,11,18051506,46,0.239130435,Port Hardy,British Columbia
668,3327c487-1873-40a5-81eb-ebf0c4296959,2019-04-25,1,18051506,46,0.02173913,Port Hardy,British Columbia
669,3327c487-1873-40a5-81eb-ebf0c4296959,2019-04-26,2,18051506,46,0.043478261,Port Hardy,British Columbia
670,3327c487-1873-40a5-81eb-ebf0c4296959,2019-04-29,2,18051506,46,0.043478261,Port Hardy,British Columbia
671,3327c487-1873-40a5-81eb-ebf0c4296959,2019-04-30,1,18051506,46,0.02173913,Port Hardy,British Columbia
672,3327c487-1873-40a5-81eb-ebf0c4296959,2019-05-01,1,18051506,46,0.02173913,Port Hardy,British Columbia
673,3327c487-1873-40a5-81eb-ebf0c4296959,2019-05-02,2,18051506,46,0.043478261,Port Hardy,British Columbia
674,3327c487-1873-40a5-81eb-ebf0c4296959,2019-05-06,1,18051506,46,0.02173913,Port Hardy,British Columbia
675,3327c487-1873-40a5-81eb-ebf0c4296959,2019-05-07,2,18051506,46,0.043478261,Port Hardy,British Columbia
677,3327c487-1873-40a5-81eb-ebf0c4296959,2019-05-09,1,18051506,46,0.02173913,Port Hardy,British Columbia
602,3a14d714-55c7-4dab-897e-92adf6d0dcf9,2019-04-18,3,17129205,49,0.0612,Markham,Ontario
603,3a14d714-55c7-4dab-897e-92adf6d0dcf9,2019-04-23,9,17129205,49,0.1837,Markham,Ontario
617,3a14d714-55c7-4dab-897e-92adf6d0dcf9,2019-04-24,6,17129205,49,0.122,Markham,Ontario
618,3a14d714-55c7-4dab-897e-92adf6d0dcf9,2019-04-26,7,17129205,49,0.14300000000000002,Markham,Ontario
619,3a14d714-55c7-4dab-897e-92adf6d0dcf9,2019-04-29,6,17129205,49,0.122,Markham,Ontario
213,3a81f8f1-0ebf-4d14-9e5c-5d03cd8e9682,2019-02-19,1,18051544,55,0.018181818,Montreal,Quebec
215,3a81f8f1-0ebf-4d14-9e5c-5d03cd8e9682,2019-02-21,1,18051544,55,0.018181818,Montreal,Quebec
216,3a81f8f1-0ebf-4d14-9e5c-5d03cd8e9682,2019-02-22,1,18051544,55,0.018181818,Montreal,Quebec
408,3c60c77a-a9f5-4e56-a425-e3c187faf59e,2019-03-21,9,18046221,53,0.16,Montreal,Quebec
22,3c60c77a-a9f5-4e56-a425-e3c187faf59e,2019-03-25,12,18046221,53,0.22,Montreal,Quebec
99,3c60c77a-a9f5-4e56-a425-e3c187faf59e,2019-03-27,13,18046221,53,0.24,Montreal,Quebec
140,3c60c77a-a9f5-4e56-a425-e3c187faf59e,2019-03-28,13,18046221,53,0.24,Montreal,Quebec
182,3c60c77a-a9f5-4e56-a425-e3c187faf59e,2019-03-29,13,18046221,53,0.24,Montreal,Quebec
185,3c60c77a-a9f5-4e56-a425-e3c187faf59e,2019-04-01,14,18046221,53,0.26,Montreal,Quebec
269,3c60c77a-a9f5-4e56-a425-e3c187faf59e,2019-04-02,14,18046221,53,0.26,Montreal,Quebec
270,3c60c77a-a9f5-4e56-a425-e3c187faf59e,2019-04-03,15,18046221,53,0.28,Montreal,Quebec
273,3c60c77a-a9f5-4e56-a425-e3c187faf59e,2019-04-04,14,18046221,53,0.26,Montreal,Quebec
296,3c60c77a-a9f5-4e56-a425-e3c187faf59e,2019-04-08,15,18046221,53,0.28,Montreal,Quebec
305,3c60c77a-a9f5-4e56-a425-e3c187faf59e,2019-04-09,16,18046221,53,0.3,Montreal,Quebec
351,3c60c77a-a9f5-4e56-a425-e3c187faf59e,2019-04-10,16,18046221,53,0.3,Montreal,Quebec
422,3c60c77a-a9f5-4e56-a425-e3c187faf59e,2019-04-11,15,18046221,53,0.28,Montreal,Quebec
444,3c60c77a-a9f5-4e56-a425-e3c187faf59e,2019-04-12,16,18046221,53,0.3,Montreal,Quebec
451,3c60c77a-a9f5-4e56-a425-e3c187faf59e,2019-04-15,16,18046221,53,0.3,Montreal,Quebec
458,3c60c77a-a9f5-4e56-a425-e3c187faf59e,2019-04-16,15,18046221,53,0.28,Montreal,Quebec
524,3c60c77a-a9f5-4e56-a425-e3c187faf59e,2019-04-17,15,18046221,53,0.28,Montreal,Quebec
547,3c60c77a-a9f5-4e56-a425-e3c187faf59e,2019-04-26,23,18046221,53,0.43,Montreal,Quebec
697,46a5c76c-1cd9-477a-aca0-fe6c8de69284,2019-01-29,3,18130340,44,0.068182,Kelowna,British Columbia
160,4a18ec7e-d7a8-4cd0-8d1d-8f02893c05ad,2019-02-22,1,18129243,51,0.02,Ottawa,Ontario
174,4a18ec7e-d7a8-4cd0-8d1d-8f02893c05ad,2019-02-23,2,18129243,51,0.04,Ottawa,Ontario
210,4a18ec7e-d7a8-4cd0-8d1d-8f02893c05ad,2019-02-24,1,18129243,51,0.02,Ottawa,Ontario
211,4a18ec7e-d7a8-4cd0-8d1d-8f02893c05ad,2019-02-26,1,18129243,51,0.02,Ottawa,Ontario
283,4a18ec7e-d7a8-4cd0-8d1d-8f02893c05ad,2019-02-27,2,18129243,51,0.04,Ottawa,Ontario
145,4cbad0d3-9069-474f-93ad-0582c6930118,2019-02-18,3,18129115,49,0.06122449,Port Dover,Ontario
146,4cbad0d3-9069-474f-93ad-0582c6930118,2019-02-19,4,18129115,49,0.081632653,Port Dover,Ontario
147,4cbad0d3-9069-474f-93ad-0582c6930118,2019-02-20,3,18129115,49,0.06122449,Port Dover,Ontario
148,4cbad0d3-9069-474f-93ad-0582c6930118,2019-02-21,6,18129115,49,0.12244898,Port Dover,Ontario
180,4cbad0d3-9069-474f-93ad-0582c6930118,2019-02-22,3,18129115,49,0.06122449,Port Dover,Ontario
181,4cbad0d3-9069-474f-93ad-0582c6930118,2019-02-23,1,18129115,49,0.020408163,Port Dover,Ontario
718,4cbad0d3-9069-474f-93ad-0582c6930118,2019-02-24,16,18129115,49,0.326531,Port Dover,Ontario
92,4ea0356b-8ca6-4493-912a-866f9ff95eeb,2019-02-19,1,18130212,49,0.020408163,East Angus,Quebec
119,4ea0356b-8ca6-4493-912a-866f9ff95eeb,2019-02-20,2,18130212,49,0.040816327,East Angus,Quebec
197,4ea0356b-8ca6-4493-912a-866f9ff95eeb,2019-02-22,3,18130212,49,0.06122449,East Angus,Quebec
393,4ea0356b-8ca6-4493-912a-866f9ff95eeb,2019-02-23,1,18130212,49,0.020408163,East Angus,Quebec
412,4f2d7442-d915-4040-ac04-d43462aac4e8,2019-03-21,2,18046241,48,0.04166667,Ottawa,Ontario
459,4f2d7442-d915-4040-ac04-d43462aac4e8,2019-03-28,1,18046241,48,0.02083333,Ottawa,Ontario
101,51d30129-a05c-4cf8-bc1e-4410c6257e0c,2019-02-19,3,18051351,56,0.053571429000000004,Whitecourt,Alberta
172,51d30129-a05c-4cf8-bc1e-4410c6257e0c,2019-02-23,1,18051351,56,0.017857143,Whitecourt,Alberta
246,51d30129-a05c-4cf8-bc1e-4410c6257e0c,2019-02-26,1,18051351,56,0.0179,Whitecourt,Alberta
497,5439cc11-1709-44a8-bdd6-ad7d16dced39,2019-04-03,4,18046241,48,0.08333330000000001,Ottawa,Ontario
93,56389f81-1962-4add-9138-c292f7e5a132,2019-02-19,1,18130212,49,0.020408163,East Angus,Quebec
715,5835cc3e-f112-498b-a1ae-e546aa138c0c,2019-02-19,3,1805135,50,0.06,Lindsay,Ontario
348,5a5e5c22-4a36-476d-b442-6d750f831c76,2019-03-06,3,18051323,49,0.061,Kleinburg,Ontario
714,5a5e5c22-4a36-476d-b442-6d750f831c76,2019-03-07,3,18051323,49,0.061,Kleinburg,Ontario
405,5a5e5c22-4a36-476d-b442-6d750f831c76,2019-03-20,3,18051323,49,0.061,Kleinburg,Ontario
414,5a5e5c22-4a36-476d-b442-6d750f831c76,2019-03-21,3,18051323,49,0.061,Kleinburg,Ontario
441,5a5e5c22-4a36-476d-b442-6d750f831c76,2019-03-27,4,18051323,49,0.081,Kleinburg,Ontario
460,5a5e5c22-4a36-476d-b442-6d750f831c76,2019-03-29,5,18051323,49,0.102,Kleinburg,Ontario
495,5a5e5c22-4a36-476d-b442-6d750f831c76,2019-04-03,5,18051323,49,0.1,Kleinburg,Ontario
555,5a5e5c22-4a36-476d-b442-6d750f831c76,2019-04-11,7,18051323,49,0.14,Kleinburg,Ontario
187,5e6065eb-1c77-43d9-8a9b-330542ec6361,2019-02-20,7,18129260,54,0.12962963,Grand Falls-Windsor,Newfoundland and Labrador
188,5e6065eb-1c77-43d9-8a9b-330542ec6361,2019-02-22,5,18129260,54,0.092592593,Grand Falls-Windsor,Newfoundland and Labrador
